token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
1633,IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,Ok,02-08-2023 09:15:00,1690947900,899.95,902.25,891.05,893.15,895.26,50562,0,50562,0
13611,INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,Ok,02-08-2023 09:15:00,1690947900,644.00,644.25,640.05,640.85,641.71,86810,0,86810,0
10738,ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,Ok,02-08-2023 09:15:00,1690947900,3862.30,3876.60,3845.75,3865.35,3859.89,3174,0,3174,0
14413,PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,Ok,02-08-2023 09:15:00,1690947900,38650.00,38665.35,38250.00,38339.00,38372.17,2064,0,2064,0
13270,JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,Ok,02-08-2023 09:15:00,1690947900,3274.45,3274.45,3241.35,3258.85,3252.40,3331,0,3331,0
18365,PERSISTENT SYSTEMS LTD,PERSISTENT,PERSISTENT-EQ,Ok,02-08-2023 09:15:00,1690947900,4798.95,4798.95,4730.10,4738.10,4747.53,34324,0,34324,0
24184,PI INDUSTRIES LTD,PIIND,PIIND-EQ,Ok,02-08-2023 09:15:00,1690947900,3674.85,3686.85,3641.55,3659.95,3665.37,24539,0,24539,0
1922,KOTAK MAHINDRA BANK LTD,KOTAKBANK,KOTAKBANK-EQ,Ok,02-08-2023 09:15:00,1690947900,1841.15,1847.80,1837.00,1839.85,1841.25,406691,0,406691,0
17971,SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,Ok,02-08-2023 09:15:00,1690947900,881.95,882.15,872.15,873.15,875.26,88480,0,88480,0
21808,SBI LIFE INSURANCE CO LTD,SBILIFE,SBILIFE-EQ,Ok,02-08-2023 09:15:00,1690947900,1283.65,1283.65,1266.05,1267.55,1270.01,53845,0,53845,0
24948,L&T FINANCE HOLDINGS LTD,L&TFH,L&TFH-EQ,Ok,02-08-2023 09:15:00,1690947900,132.10,132.35,131.05,131.50,131.73,566864,0,566864,0
11654,DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,Ok,02-08-2023 09:15:00,1690947900,2340.00,2357.10,2321.50,2322.65,2337.78,17364,0,17364,0
19234,LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,Ok,02-08-2023 09:15:00,1690947900,357.75,359.65,356.15,357.55,357.78,250784,0,250784,0
1997,LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,Ok,02-08-2023 09:15:00,1690947900,416.90,417.30,414.35,415.35,415.76,165991,0,165991,0
11483,LARSEN & TOUBRO LTD.,LT,LT-EQ,Ok,02-08-2023 09:15:00,1690947900,2637.95,2638.00,2627.20,2634.60,2633.48,148645,0,148645,0
17818,LTIMINDTREE LIMITED,LTIM,LTIM-EQ,Ok,02-08-2023 09:15:00,1690947900,4976.00,4976.00,4925.00,4925.00,4945.74,30152,0,30152,0
18564,L&T TECHNOLOGY SER. LTD.,LTTS,LTTS-EQ,Ok,02-08-2023 09:15:00,1690947900,4140.10,4160.80,4109.05,4128.50,4138.51,20025,0,20025,0
275,AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,Ok,02-08-2023 09:15:00,1690947900,814.75,820.00,809.20,811.60,813.17,125786,0,125786,0
10440,LUPIN LIMITED,LUPIN,LUPIN-EQ,Ok,02-08-2023 09:15:00,1690947900,987.85,987.85,976.35,977.55,979.63,71360,0,71360,0
2031,MAHINDRA & MAHINDRA LTD,M&M,M&M-EQ,Ok,02-08-2023 09:15:00,1690947900,1493.75,1496.60,1483.10,1488.65,1492.48,286508,0,286508,0
13285,M&M FIN. SERVICES LTD,M&MFIN,M&MFIN-EQ,Ok,02-08-2023 09:15:00,1690947900,296.40,296.40,293.10,295.20,294.63,211824,0,211824,0
4067,MARICO LIMITED,MARICO,MARICO-EQ,Ok,02-08-2023 09:15:00,1690947900,560.00,560.75,554.90,556.55,556.76,75622,0,75622,0
9581,METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,Ok,02-08-2023 09:15:00,1690947900,1383.75,1389.05,1375.70,1381.50,1382.64,47178,0,47178,0
