UNDERLYING,SYMBOL,tsym,token
ICICI BANK LTD.,ICICIBANK,ICICIBANK-EQ,4963
TATA MOTORS LIMITED,TATAMOTORS,TATAMOTORS-EQ,3456
TATA POWER CO LTD,TATAPOWER,TATAPOWER-EQ,3426
INDUSIND BANK LIMITED,INDUSINDBK,INDUSINDBK-EQ,5258
TITAN COMPANY LIMITED,TITAN,TITAN-EQ,3506
TORRENT PHARMACEUTICALS L,TORNTPHARM,TORNTPHARM-EQ,3518
UNITED BREWERIES LTD,UBL,UBL-EQ,16713
ULTRATECH CEMENT LIMITED,ULTRACEMCO,ULTRACEMCO-EQ,11532
UPL LIMITED,UPL,UPL-EQ,11287
VOLTAS LTD,VOLTAS,VOLTAS-EQ,3718
JUBILANT FOODWORKS LTD,JUBLFOOD,JUBLFOOD-EQ,18096
ZEE ENTERTAINMENT ENT LTD,ZEEL,ZEEL-EQ,3812
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,ZYDUSLIFE-EQ,7929
MANAPPURAM FINANCE LTD,MANAPPURAM,MANAPPURAM-EQ,19061
ACC LIMITED,ACC,ACC-EQ,22
VEDANTA LIMITED,VEDL,VEDL-EQ,3063
JINDAL STEEL & POWER LTD,JINDALSTEL,JINDALSTEL-EQ,6733
JSW STEEL LIMITED,JSWSTEEL,JSWSTEEL-EQ,11723
CONTAINER CORP OF IND LTD,CONCOR,CONCOR-EQ,4749
NMDC LTD.,NMDC,NMDC-EQ,15332
POLYCAB INDIA LIMITED,POLYCAB,POLYCAB-EQ,9590
SIEMENS LTD,SIEMENS,SIEMENS-EQ,3150
CANARA BANK,CANBK,CANBK-EQ,10794
MULTI COMMODITY EXCHANGE,MCX,MCX-EQ,31181
MAHANAGAR GAS LTD.,MGL,MGL-EQ,17534
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,MOTHERSON-EQ,4204
ITC LTD,ITC,ITC-EQ,1660
PVR INOX LIMITED,PVRINOX,PVRINOX-EQ,13147
SUN TV NETWORK LIMITED,SUNTV,SUNTV-EQ,13404
PIRAMAL ENTERPRISES LTD,PEL,PEL-EQ,2412
POWER FIN CORP LTD.,PFC,PFC-EQ,14299
TATA STEEL LIMITED,TATASTEEL,TATASTEEL-EQ,3499
GODREJ PROPERTIES LTD,GODREJPROP,GODREJPROP-EQ,17875
VODAFONE IDEA LIMITED,IDEA,IDEA-EQ,14366
MPHASIS LIMITED,MPHASIS,MPHASIS-EQ,4503
