UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,275,Ok,25-07-2023 09:15:00,1690256700,937.90,937.90,931.80,933.60,934.11,33784,0,33784,0
LUPIN LIMITED,LUPIN,LUPIN-EQ,10440,Ok,25-07-2023 09:15:00,1690256700,4014.95,4022.70,3963.00,3971.90,3991.17,31758,0,31758,0
MAHINDRA & MAHINDRA LTD,M&M,M&M-EQ,2031,Ok,25-07-2023 09:15:00,1690256700,324.50,325.25,322.00,322.60,323.70,380074,0,380074,0
M&M FIN. SERVICES LTD,M&MFIN,M&MFIN-EQ,13285,Ok,25-07-2023 09:15:00,1690256700,1551.85,1566.35,1548.05,1563.60,1555.07,547425,0,547425,0
MARICO LIMITED,MARICO,MARICO-EQ,4067,Ok,25-07-2023 09:15:00,1690256700,102333.00,102699.00,102202.10,102416.05,102413.89,296,0,296,0
METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,9581,Ok,25-07-2023 09:15:00,1690256700,1052.25,1061.75,1051.20,1052.00,1057.70,168672,0,168672,0
BAJAJ FINSERV LTD.,BAJAJFINSV,BAJAJFINSV-EQ,16675,Ok,25-07-2023 09:15:00,1690256700,1418.00,1423.70,1408.60,1420.75,1416.96,32757,0,32757,0
CIPLA LTD,CIPLA,CIPLA-EQ,694,Ok,25-07-2023 09:15:00,1690256700,1664.65,1664.65,1652.45,1654.00,1659.07,89309,0,89309,0
MRF LTD,MRF,MRF-EQ,2277,Ok,25-07-2023 09:15:00,1690256700,535.40,541.00,535.35,535.70,538.37,85330,0,85330,0
EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,676,Ok,25-07-2023 09:15:00,1690256700,251.00,251.95,250.40,250.85,251.12,125466,0,125466,0
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,23650,Ok,25-07-2023 09:15:00,1690256700,1303.35,1308.80,1296.05,1302.60,1302.20,16332,0,16332,0
NAVIN FLUORINE INT. LTD,NAVINFLUOR,NAVINFLUOR-EQ,14672,Ok,25-07-2023 09:15:00,1690256700,3399.00,3406.50,3382.60,3386.35,3391.93,103669,0,103669,0
TATA CONSULTANCY SERV LT,TCS,TCS-EQ,11536,Ok,25-07-2023 09:15:00,1690256700,1328.00,1334.30,1314.90,1325.50,1324.53,516138,0,516138,0
TECH MAHINDRA LIMITED,TECHM,TECHM-EQ,13538,Ok,25-07-2023 09:15:00,1690256700,1707.25,1716.45,1701.65,1712.45,1712.55,22530,0,22530,0
