company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
MRF LTD,MRF,MRF-EQ,2277,Ok,28-07-2023 09:15:00,1690515900,1331.75,1333.20,1327.15,1330.55,1330.02,332354,0,332615,0
EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,676,Ok,28-07-2023 09:15:00,1690515900,1172.90,1181.50,1165.85,1178.70,1175.11,590531,0,606024,0
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,23650,Ok,28-07-2023 09:15:00,1690515900,1415.00,1415.95,1381.50,1388.25,1392.43,59338,0,59638,0
NAVIN FLUORINE INT. LTD,NAVINFLUOR,NAVINFLUOR-EQ,14672,Ok,28-07-2023 09:15:00,1690515900,4286.10,4286.10,4204.35,4227.10,4230.50,26409,0,26501,0
TATA CONSULTANCY SERV LT,TCS,TCS-EQ,11536,Ok,28-07-2023 09:15:00,1690515900,1355.55,1370.70,1354.00,1362.20,1360.96,52061,0,52854,0
TECH MAHINDRA LIMITED,TECHM,TECHM-EQ,13538,Ok,28-07-2023 09:15:00,1690515900,1713.00,1713.00,1691.80,1706.85,1701.91,17294,0,17405,0
TRENT LTD,TRENT,TRENT-EQ,1964,Ok,28-07-2023 09:15:00,1690515900,3389.90,3389.90,3366.15,3367.50,3372.21,163801,0,173547,0
TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,8479,Ok,28-07-2023 09:15:00,1690515900,1098.00,1100.00,1090.80,1092.60,1094.23,463806,0,471356,0
BIOCON LIMITED.,BIOCON,BIOCON-EQ,11373,Ok,28-07-2023 09:15:00,1690515900,256.90,260.75,256.50,260.20,258.98,467306,0,471470,0
NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND-EQ,17963,Ok,28-07-2023 09:15:00,1690515900,170.60,170.95,169.00,170.75,170.04,569872,0,594737,0
WIPRO LTD,WIPRO,WIPRO-EQ,3787,Ok,28-07-2023 09:15:00,1690515900,201.80,201.85,199.55,199.70,200.28,670447,0,688728,0
NTPC LTD,NTPC,NTPC-EQ,11630,Ok,28-07-2023 09:15:00,1690515900,402.15,402.70,400.15,401.75,401.52,249408,0,265048,0
OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,20242,Ok,28-07-2023 09:15:00,1690515900,22350.00,22391.95,22200.00,22370.05,22306.51,8299,0,8603,0
OIL AND NATURAL GAS CORP.,ONGC,ONGC-EQ,2475,Ok,28-07-2023 09:15:00,1690515900,1114.95,1115.00,1101.25,1107.70,1108.43,32264,0,32934,0
CITY UNION BANK LTD,CUB,CUB-EQ,5701,Ok,28-07-2023 09:15:00,1690515900,134.55,135.00,133.55,134.05,134.10,271670,0,289466,0
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,CHAMBLFERT-EQ,637,Ok,28-07-2023 09:15:00,1690515900,251.75,252.10,250.15,251.30,251.27,590138,0,616067,0
PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,11351,Ok,28-07-2023 09:15:00,1690515900,275.00,275.00,272.15,273.20,273.30,84600,0,86235,0
PIDILITE INDUSTRIES LTD,PIDILITIND,PIDILITIND-EQ,2664,Ok,28-07-2023 09:15:00,1690515900,2594.95,2609.70,2587.15,2604.95,2598.08,23364,0,23854,0
